SOC,Title,Job Zone,Group,Total,Hourly Median,Annual Median,2014 Distribution (%),2024 Distribution (%),Change (Total),Change (%),2014-2024 Openings,Description
35-2021,Food Preparation Workers,1,Food Preparation & Serving Related,850670,10.31,21440,0.6,0.6,54.8,6.3,298.3,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea."
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",1,Food Preparation & Serving Related,3426090,9.35,19440,2.1,2.2,343.5,10.9,1364.6,Perform duties which combine preparing and serving food and nonalcoholic beverages.
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1,Food Preparation & Serving Related,499550,9.6,19970,0.3,0.3,28.9,6,318.1,Serve food to diners at counter or from a steam table.
35-3031,Waiters and Waitresses,1,Food Preparation & Serving Related,2564610,9.61,19990,1.6,1.6,68.9,2.8,1255,Take orders and serve food and beverages to patrons at tables in dining establishment.
35-3041,"Food Servers, Nonrestaurant",1,Food Preparation & Serving Related,261520,10.21,21240,0.2,0.2,33.8,13.4,96,"Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars."
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1,Food Preparation & Serving Related,423080,9.71,20200,0.3,0.3,25.4,6.1,233,"Facilitate food service. Clean tables, remove dirty dishes, replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons."
35-9021,Dishwashers,1,Food Preparation & Serving Related,506450,10,20800,0.3,0.3,-19.5,-3.9,219.3,"Clean dishes, kitchen, food preparation equipment, or utensils."
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1,Food Preparation & Serving Related,404360,9.6,19980,0.3,0.2,16.7,4.4,283.8,"Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service."
37-3011,Landscaping and Groundskeeping Workers,1,Building & Grounds Cleaning & Maintenance,906570,12.65,26320,0.8,0.8,71.7,6.1,282.3,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units."
39-2021,Nonfarm Animal Caretakers,1,Personal Care & Service,187360,10.57,21990,0.1,0.1,21.6,10.6,63.8,"Feed, water, groom, bathe, exercise, or otherwise care for pets and other nonfarm animals, such as dogs, cats, ornamental fish or birds, zoo animals, and mice. Work in settings such as kennels, animal shelters, zoos, circuses, and aquariums. May keep records of feedings, treatments, and animals received or discharged. May clean, disinfect, and repair cages, pens, or fish tanks."
39-3091,Amusement and Recreation Attendants,1,Personal Care & Service,286740,9.69,20160,0.2,0.2,22.3,7.7,143.2,"Perform variety of attending duties at amusement or recreation facility. May schedule use of recreation facilities, maintain and provide equipment to participants of sporting events or recreational pursuits, or operate amusement concessions and rides."
41-2011,Cashiers,1,Sales & Related,3541010,9.7,20180,2.3,2.2,67,2,1523.8,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks."
41-2021,Counter and Rental Clerks,1,Sales & Related,450330,12.29,25550,0.3,0.3,16.3,3.7,125.8,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute costs, and accept payment."
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,"Farming, Fishing, & Forestry",35670,11.79,24520,0.1,0.1,-7,-3.2,57.5,"Attend to live farm, ranch, or aquacultural animals that may include cattle, sheep, swine, goats, horses and other equines, poultry, finfish, shellfish, and bees. Attend to animals produced for animal products, such as meat, fur, skins, feathers, eggs, milk, and honey. Duties may include feeding, watering, herding, grazing, castrating, branding, de-beaking, weighing, catching, and loading animals. May maintain records on animals; examine animals to detect diseases and injuries; assist in birth deliveries; and administer medications, vaccinations, or insecticides as appropriate. May clean and maintain animal housing areas. Includes workers who shear wool from sheep, and collect eggs in hatcheries."
45-4022,Logging Equipment Operators,1,"Farming, Fishing, & Forestry",27250,18.03,37490,0,0,-0.1,-0.3,8.8,"Drive logging tractor or wheeled vehicle equipped with one or more accessories such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree; to skid, load, unload, or stack logs; or to pull stumps or clear brush."
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,Contruction & Extraction,10780,13.13,27310,0,0,1.2,10.5,2.7,"Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,1,Contruction & Extraction,26320,17.51,36430,0,0,4,16.3,10.1,"Clean and repair septic tanks, sewer lines, or drains. May patch walls and partitions of tank, replace damaged drain tile, or repair breaks in underground piping."
47-5011,"Derrick Operators, Oil and Gas",1,Contruction & Extraction,11580,23.14,48130,0,0,2.9,13.3,10.3,Rig derrick equipment and operate pumps to circulate mud through drill hole.
47-5071,"Roustabouts, Oil and Gas",1,Contruction & Extraction,51290,17.95,37340,0.1,0.1,6.3,8.3,21.3,Assemble or repair oil field equipment using hand and power tools. Perform other tasks as needed.
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",1,Production,149800,11.77,24490,0.1,0.1,-0.2,-0.1,30.1,"Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood."
51-6011,Laundry and Dry-Cleaning Workers,1,Production,207710,10.34,21510,0.1,0.1,3.7,1.8,33.6,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles."
53-3041,Taxi Drivers and Chauffeurs,1,Transportation & Material Moving,188860,11.68,24300,0.2,0.2,30.6,13.1,74.8,"Drive automobiles, vans, or limousines to transport passengers. May occasionally carry cargo. Includes hearse drivers."
53-7011,Conveyor Operators and Tenders,1,Transportation & Material Moving,28590,15.1,31410,0,0,-0.1,-0.2,11.5,"Control or tend conveyors or conveyor systems that move materials or products to and from stockpiles, processing stations, departments, or vehicles. May control speed and routing of materials or products."
11-9051,Food Service Managers,2,Management,201470,24.43,50820,0.2,0.2,15.7,5.1,77.1,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
