soc_uni,soc,task_id,id,new_descript,word,definition
35-2021,35-2021.00,Food Preparation Workers,2199,Get food ready for take-out orders. Serve food to people.,NA,NA
35-2021,35-2021.00,Food Preparation Workers,2220,"Work in a line of other workers to get food trays ready. Add food, napkins, and other items to trays.",NA,NA
35-2021,35-2021.00,Food Preparation Workers,18733,Use a cash register. Take payments and give back change.,NA,NA
35-3021,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",2242,Take payments from people and give back change.,NA,NA
35-3021,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",2243,Take and record food orders. Add up bills on paper or use a machine to do so.,NA,NA
35-3021,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",2254,Give food to servers.,NA,NA
35-3022,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2260,"Serve food and drinks from behind a counter. Work in lunchrooms, take-out windows, and other places.",NA,NA
35-3022,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2265,Add up money owed for food. Use cash registers or adding machines. Take payments and give back change.,NA,NA
35-3022,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",18742,"Cook or prepare food. Follow standard rules and steps to make sandwiches, salads, and more.",NA,NA
35-3031,35-3031.00,Waiters and Waitresses,2279,Check to see if customers are enjoying their food. Try to fix any problems.,NA,NA
35-3031,35-3031.00,Waiters and Waitresses,2277,"Take food orders. Write them down, remember them, or enter them into a computer. Bring orders to kitchen staff.",NA,NA
35-3031,35-3031.00,Waiters and Waitresses,2278,Take food and drink orders from people.,NA,NA
35-3041,35-3041.00,"Food Servers, Nonrestaurant",11159,"Carry food, napkins, and silverware on trays. Use carts to carry trays.",NA,NA
35-3041,35-3041.00,"Food Servers, Nonrestaurant",11157,"Prepare food orders. Make sandwiches, salads, soups, or drinks.",NA,NA
35-3041,35-3041.00,"Food Servers, Nonrestaurant",11155,"Keep bars and food stands filled with needed items. Refill ice, napkins, straws, and more.",Refill,To fill again.
35-9011,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,11163,Use damp cloths to wipe off tables or chairs. Change dirty tablecloths.,Damp,A little bit wet.
35-9011,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,11165,Scrape food off dirty dishes. Stack and carry dishes and tableware. Bring items to kitchen for cleaning.,NA,NA
35-9011,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,11176,Carry trays from food counters to tables.,NA,NA
35-9021,35-9021.00,Dishwashers,11186,"Wash dishes, glasses, and silverware. Wash pots and pans. Use a dishwasher or clean by hand.",NA,NA
35-9021,35-9021.00,Dishwashers,11187,"Put clean dishes, glasses, or pans in storage places.",Storage,Somewhere to keep something for later use.
35-9021,35-9021.00,Dishwashers,11190,Sweep or wash floors.,NA,NA
35-9031,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2297,Greet guests and seat them at tables or in waiting areas.,NA,NA
35-9031,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2296,Give menus to guests.,Menu,A listing of foods that people can buy at a restaurant.
35-9031,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2305,Use cash registers to take payments for food and drink.,NA,NA
37-3011,37-3011.00,Landscaping and Groundskeeping Workers,9594,Pick up and clear away litter.,Litter,"Things dropped on the ground, often trash."
37-3011,37-3011.00,Landscaping and Groundskeeping Workers,20761,"Use vehicles or power machines. Drive mowers, tractors, snow blowers, and more. Use chain-saws, clippers, cutters, and more.",Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
37-3011,37-3011.00,Landscaping and Groundskeeping Workers,9597,"Keep sidewalks, driveways, and parking lots clear. Keep grounds looking good. Take care of fountains, planters, and more.",NA,NA
39-2021,39-2021.00,Nonfarm Animal Caretakers,5075,Check animals for health problems. Watch for signs of illness or injury.,NA,NA
39-2021,39-2021.00,Nonfarm Animal Caretakers,5079,"Groom animals. Wash, brush, clip, and cut their fur. Cut their nails and clean their ears.",NA,NA
39-2021,39-2021.00,Nonfarm Animal Caretakers,5087,"Make sure animal holding areas are warm, cool, damp, or dry enough. Adjust controls to get the right setting.",Damp,A little bit wet.
39-3091,39-3091.00,Amusement and Recreation Attendants,5119,Sell tickets and collect fees from the public.,NA,NA
39-3091,39-3091.00,Amusement and Recreation Attendants,5122,Use machines to clean and smooth the ice in skating and sports rinks.,NA,NA
39-3091,39-3091.00,Amusement and Recreation Attendants,5131,"Help people get on or off amusement park rides, boats, or ski lifts. Help people get on or off animals.",Amusement park,"A park with games, rides, booths, and food."
41-2011,41-2011.00,Cashiers,2400,"Take payments by cash, check, or credit card. Take vouchers and other forms of payment.",Voucher,A note given in place of money.
41-2011,41-2011.00,Cashiers,2401,Give buyers receipts and change owed. Give refunds and credits owed.,Receipts,Records showing that payments were made or money is owed.
41-2011,41-2011.00,Cashiers,2413,Sell tickets and other things to the public.,NA,NA
41-2021,41-2021.00,Counter and Rental Clerks,682,Greet customers. Find out what items they want to rent and how many they need.,NA,NA
41-2021,41-2021.00,Counter and Rental Clerks,681,Answer phones. Take orders and tell people what they need to know.,NA,NA
41-2021,41-2021.00,Counter and Rental Clerks,690,Rent items. Set up services for renters. Take back items that renters return.,NA,NA
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",13410,Feed and water livestock. Make sure there is enough food and water on hand.,Livestock,Animals kept or raised on a farm or ranch.
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",13411,"Drive trucks, tractors, and other equipment to bring feed to livestock.",Livestock,Animals kept or raised on a farm or ranch.
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",13426,"Keep records of growth, feeding, production, and costs.",Production,The act of making something.
45-4022,45-4022.00,Logging Equipment Operators,9807,"Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.",Hydraulic,Powered by water or other liquids.
45-4022,45-4022.00,Logging Equipment Operators,9807,"Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.",Bunch,To put together in a group.
45-4022,45-4022.00,Logging Equipment Operators,9806,"Grade logs by following set standards. Give grades based on knot size, straightness, and more.",NA,NA
45-4022,45-4022.00,Logging Equipment Operators,9808,Drive tractors and tree harvesters. Use them to cut the tops off of trees. Use them to cut tree branches and logs.,NA,NA
