"","soc_uni","soc","original_title","new_occ_title","new_occ_description","new_occ_word","new_occ_definition"
"1","35-2021","35-2021.00","Food Preparation Workers","Food preparers handle food and get it ready for people to eat. This job can include a range of food tasks. ","Food preparers handle food and get it ready for people to eat. This job can include a range of food tasks. ",NA,NA
"2","35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food","Combined food preparers and servers work with both food and people. They get food ready for people to eat and bring food to people. They offer drinks without alcohol.","Combined food preparers and servers work with both food and people. They get food ready for people to eat and bring food to people. They offer drinks without alcohol.",NA,NA
"3","35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Counter workers serve food and drinks to the public. They work behind a food counter. Some work from a steam table that keeps food warm.","Counter workers serve food and drinks to the public. They work behind a food counter. Some work from a steam table that keeps food warm.",NA,NA
"4","35-3031","35-3031.00","Waiters and Waitresses","Waiters and waitresses work at places that serve food and drink. They take food and drink orders from customers. They report the orders to cooking and bar staff. They bring food and drink to customers who are seated at tables or at the bar. They bring the bill and often take payment. Some serve drinks with alcohol.","Waiters and waitresses work at places that serve food and drink. They take food and drink orders from customers. They report the orders to cooking and bar staff. They bring food and drink to customers who are seated at tables or at the bar. They bring the bill and often take payment. Some serve drinks with alcohol.",NA,NA
"5","35-3041","35-3041.00","Food Servers, Nonrestaurant","Some food servers do not work in restaurants. Instead, they work in places like hotels, hospital rooms, and residential care homes. Some work on boats or in car parks. Some work at fairs or from food trucks. They take orders and bring food. Some also take payment.","Some food servers do not work in restaurants. Instead, they work in places like hotels, hospital rooms, and residential care homes. Some work on boats or in car parks. Some work at fairs or from food trucks. They take orders and bring food. Some also take payment.","Residential care homes","Places where people who are older or have disabilities live. Those people often have trouble caring for themselves and get help from staff working at the home."
"6","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","Helpers work in dining rooms, cafeterias, and bars. They help food and drink servers. They set and clean tables. They take away dirty dishes. They put out clean dishes, glasses, napkins, and tablecloths. They serve water, coffee, and condiments. They keep bars and food stands filled with needed items.","Helpers work in dining rooms, cafeterias, and bars. They help food and drink servers. They set and clean tables. They take away dirty dishes. They put out clean dishes, glasses, napkins, and tablecloths. They serve water, coffee, and condiments. They keep bars and food stands filled with needed items.","Cafeterias","Dining halls where food is served at counters. Diners choose food and drinks and take them to tables themselves."
"7","35-9021","35-9021.00","Dishwashers","Dishwashers clean dishes, glasses, and silverware. They clean cooking equipment, pots, and pans. Some wash and dry dishes by hand. Others use dish washing machines.","Dishwashers clean dishes, glasses, and silverware. They clean cooking equipment, pots, and pans. Some wash and dry dishes by hand. Others use dish washing machines.",NA,NA
"8","35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and hostesses welcome customers. They greet and seat customers. They make sure that a restaurant, bar, or lounge runs well.","Hosts and hostesses welcome customers. They greet and seat customers. They make sure that a restaurant, bar, or lounge runs well.","Lounge","A place for sitting, waiting, relaxing or hearing music."
"9","37-3011","37-3011.00","Landscaping and Groundskeeping Workers","Landscapers and groundskeepers work outdoors. They use hand or power tools and equipment. They do many tasks to keep outdoor areas looking good. They lay down grass and sod. They mow lawns and plant flowers, trees, and bushes. They water, weed, and feed plantings. They dig, rake, and trim plantings.","Landscapers and groundskeepers work outdoors. They use hand or power tools and equipment. They do many tasks to keep outdoor areas looking good. They lay down grass and sod. They mow lawns and plant flowers, trees, and bushes. They water, weed, and feed plantings. They dig, rake, and trim plantings.",NA,NA
"10","39-2021","39-2021.00","Nonfarm Animal Caretakers","Some caretakers work with pets and non-farm animals. Those include dogs, cats, fish, birds, horses, mice, and wildlife. Some caretakers work in houses, shelters, stables, or kennels. Some work in zoos, parks, and other fun places. They give animals food and water. Some walk, exercise, groom, or wash the animals. Some keep records of feedings and treatments. Some clean or fix animal cages, pens, and tanks.","Some caretakers work with pets and non-farm animals. Those include dogs, cats, fish, birds, horses, mice, and wildlife. Some caretakers work in houses, shelters, stables, or kennels. Some work in zoos, parks, and other fun places. They give animals food and water. Some walk, exercise, groom, or wash the animals. Some keep records of feedings and treatments. Some clean or fix animal cages, pens, and tanks.","Kennels","Places that shelter animals, often while their owners are away."
"11","39-3091","39-3091.00","Amusement and Recreation Attendants","Workers at amusement, sport, and recreation parks do a number of tasks. Some workers set up times for people to use the parks. Some make sure the equipment, grounds, and rides stay working well. Some run the rides or game booths. Some sell food or give out equipment that users need.","Workers at amusement, sport, and recreation parks do a number of tasks. Some workers set up times for people to use the parks. Some make sure the equipment, grounds, and rides stay working well. Some run the rides or game booths. Some sell food or give out equipment that users need.","Amusement park","A park with games, rides, booths, and food."
"12","41-2011","41-2011.00","Cashiers","Cashiers work with money. They take cash, checks, and credit card payments from people. They hand back money and receipts. They give change when someone pays more than what’s due. They often use credit card scanners, cash registers, or other equipment. Cashiers often deal with the public.","Cashiers work with money. They take cash, checks, and credit card payments from people. They hand back money and receipts. They give change when someone pays more than what’s due. They often use credit card scanners, cash registers, or other equipment. Cashiers often deal with the public.","Receipts","Written records showing that payments were made or money is owed."
"13","41-2021","41-2021.00","Counter and Rental Clerks","Counter and rental clerks take orders for repairs, rentals, goods, and services. They tell customers what services are offered. They add up costs and take payments. They often work in-person at counters or stores.","Counter and rental clerks take orders for repairs, rentals, goods, and services. They tell customers what services are offered. They add up costs and take payments. They often work in-person at counters or stores.","Services","Helpful acts, things that are done for other people."
"14","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","Caretakers work with farm and ranch animals that are raised to make products. Those products include food, fur, skins, and feathers. Some caretakers work with cattle, sheep, pigs, horses, fish, chickens, or bees. Some feed, water, and herd animals. Some castrate, de-beak, weigh, and cut fur from animals. Some check animals for illness and injuries. Some help with births, give medicine, or keep records. Some clean animal holding areas.","Caretakers work with farm and ranch animals that are raised to make products. Those products include food, fur, skins, and feathers. Some caretakers work with cattle, sheep, pigs, horses, fish, chickens, or bees. Some feed, water, and herd animals. Some castrate, de-beak, weigh, and cut fur from animals. Some check animals for illness and injuries. Some help with births, give medicine, or keep records. Some clean animal holding areas.","Castrate","Remove body parts that allow animals to breed."
"15","45-4022","45-4022.00","Logging Equipment Operators","Workers use machines that cut down trees and make logs. They drive logging tractors and other big vehicles. They use heavy equipment to cut, lift, load, or unload logs. They use machines to pull tree stumps and clear brush.","Workers use machines that cut down trees and make logs. They drive logging tractors and other big vehicles. They use heavy equipment to cut, lift, load, or unload logs. They use machines to pull tree stumps and clear brush.","Vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"16","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers work with people who paint, put up plaster, or hang paper and billboards. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers work with people who paint, put up plaster, or hang paper and billboards. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
